name,link,desc,chef,prepTime,cooktime,total,ingredients,instructions,rating,num_of_reviews,calories,servings,fat,carb,protein,cholesterol,sodium,image
Almond Pistachios Praline Triangles,https://www.tarladalal.com/Almond-Pistachios-Praline-Triangles-1899r,"A delicious praline made of healthy nuts and seeds, the almond pistachio praline triangles are a great snack for any time of the day. Nuts and seeds are a storehouse of energy, and also provide essential nutrients like protein, fibre, anti-oxidants and vitamin e – making them a must-have for kids. So, be sure to make and store some of these healthy pralines in an airtight container, so that your kids find a wonder-food when they raid the kitchen larder to cater to a sudden hunger pang.",Tarla Dalal,10 mins,15 mins,25 mins ,"39265, 39266, 39267, 39268, 6390, 39070","In a heavy bottomed pan, add the sugar and melt it over gentle heat, stirring continuously till the sugar is light brown in colour (caramelised).
Remove from the fire, add the rest of the ingredients and mix well.
Pour this mixture onto a greased marble or stone surface.
Using a large greased rolling pin, roll out the praline as thinly as you can.
While it is still warm, cut into triangles. Allow it to cool completely.
Store in an air-tight container.",5,1,198 cal,4 servings (4 serving ),9.9 g,24.6 g,2.6 g,0 mg,4.2 mg,https://www.tarladalal.com/members/9306/big/big_almond_pistachios_praline_triangles-11165.jpg?size=696X905
Aloo and Green Peas Chaat,https://www.tarladalal.com/Aloo-and-Green-Peas-Chaat-2419r,"The interplay of soft green peas with crisped potato cubes is a delight to behold and savour, especially when this combo is pepped up with a dash of lime, green chillies and chaat masala too. Aloo and green peas chaat is a mild variation of the ever-popular aloo chaat, relished by indians the world over!",Tarla Dalal,10 mins,6 mins,16 mins ,"39269, 39270, 38822, 38994, 39256, 39271, 1269, 38909","Heat the oil in a broad non-stick pan, add the potatoes and cook on a medium flame for 3 to 4 minutes or till the potatoes are brown in colour.
Add the remaining ingredients, mix well and cook on a medium flame for 1 to 2 minutes.
Serve hot garnished with coriander.",5,1,131 cal,2 servings,7.6 g,13.7 g,2 g,0 mg,6.4 mg,https://www.tarladalal.com/members/9306/big/big_aloo_and_green_peas_chaat-7866.jpg?size=696X905
"Almond Rocks, Microwave Almond Rock Recipe",https://www.tarladalal.com/Almond-Rocks-Microwave-Almond-Rock-Recipe-667r,"Fit for a festive day, but made without much sweat! Who can resist crisp, perfectly roasted almonds coated in chocolate? Cool well, and treat yourself to these crunchy delights, or wrap them up in attractive papers and gift them to a dear one. Ensure that the almonds are well roasted so that they remain crisp. Making almond rocks in the microwave retains the aroma of chocolate, without any charring or unnecessary morphing of the flavour. It is as good as melting the chocolate in a double-boiler.",Tarla Dalal,5 mins,3 mins,8 mins ,"39259, 39260, 39261","Spread the almond slices evenly in a plate and microwave on high for 2 minutes or until light pink in colour. Keep aside to cool.
Put the chocolate into a small microwave safe bowl and microwave on high for 3 minutes, stirring once in between after 1½ minutes.
Remove from the microwave and continuously stir the chocolate until it cools a little.
Add the almonds and mix well.
Put small pieces of coated almonds on a tray lined with grease-proof paper or aluminium foil. Keep in the refrigerator for 2 hours.
Wrap each rock in a decorative foil and store in the refrigerator.
The chocolate used in this recipe should be at room temperature.",5,1,31 cal,10 pieces,2.7 g,1.1 g,0.9 g,0 mg,1 mg,"https://www.tarladalal.com/members/9306/big/big_almond_rocks,_microwave_almond_rock_recipe-11156.jpg?size=696X905"
Almond Strawberry Shortcakes ( Eggless Desserts Recipe),https://www.tarladalal.com/Almond-Strawberry-Shortcakes-(-Eggless-Desserts-Recipe)-1139r,"Soft yet crunchy, shortcakes are a delightful treat for people of all ages. The almond strawberry shortcake is a lovely variant of almond pastry sandwiched with strawberries and whipped cream, served with strawberry sauce. If you are serving this at a party, you can use a small cookie cutter to make bite-sized servings.",Tarla Dalal,45 mins,0 mins ,751 hours 15 minutes,"39272, 39273, 39274, 39275, 39276, 39277, 39278, 39279, 39280, 39281","Cream the butter and sugar on a flat surface with your palm, until it is light and creamy. (refer to diagram on page 40 )
Add the vanilla essence and mix well.
Add the flour and almond powder and gradually continue mixing till it forms a soft dough. Refrigerate for 15 minutes.
Divide the dough into 6 equal portions and roll each portion on a dusted rolling board into 100mm. (4”) diameter circle.
Prick all over the circle gently and bake in a pre-heated oven at 150°c (300°f) for 20 to 25 minutes or till it turns light brown in colour. Keep aside
Place one shortcake on a clean dry surface, pipe out ¼th of the beaten whipped cream on top and arrange ¼th of the strawberries over it.
Sandwich with another shortcake and again pipe out ¼th of the beaten whipped cream on top and place another ¼th of the strawberries over it. Finally place one more shortcake over it.
Dust a little icing sugar on top of the shortcake and garnish with a strawberry fan.
Repeat steps 1 to 3 to make one more stuffed shortcake.
Serve immediately with strawberry sauce.
You can use a 4” cookie cutter to give a perfect round shape to the shortcake.",5,1,NULL,4 servings,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/images/almond-strawberry-shortcakes-381.jpg?size=300X350
Aloo Aur Shakarkand Ki Chaat ( Starter Recipe ),https://www.tarladalal.com/Aloo-Aur-Shakarkand-Ki-Chaat-(-Starter-Recipe-)-4867r,"This dish is almost a meal in itself. Potatoes and sweet potatoes are grilled with butter, then topped with curds and spices and garnished with grated radish and spring onions.",Tarla Dalal,10 mins,30 mins,40 mins ,"39282, 39283, 39284, 39285, 38921, 39286, 39287, 39288, 39289, 1269, 39290, 39291","Boil the potatoes and sweet potatoes in salted water. Peel and cut into large cubes.
Thread the potato and sweet potato cubes onto skewers. Smear them generously with melted butter and grill over a charcoal or electric barbecue
Drain on absorbent paper and place in a serving dish.
Top with the green chutney, khajur imli ki chutney, curds, black salt, cumin seed powder, chilli powder and salt.
Garnish with the grated radish and spring onions.
Serve immediately",5,2,NULL,4 servings,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_aloo_aur_shakarkand_ki_chaat_(_starter_recipe_)-13009.jpg?size=696X905
"Aloo Cheese Croquettes, Potato and Cheese Rolls",https://www.tarladalal.com/Aloo-Cheese-Croquettes-Potato-and-Cheese-Rolls-32755r,"A yummy starter, which is sure to raise one’s expectations of the forthcoming meal! Aloo Cheese Croquettes also look very appetising, so nobody is likely to pass up the tray without tasting one. A melt-in-the-mouth covering of mashed potatoes gives way to a succulent, cheesy filling that has the peppy flavour of chilli-garlic sauce. Accompanied by more chilli-garlic sauce, this delectable snack is an awesome treat for your taste buds – in terms of its texture as well as flavour! Enjoy it hot and fresh.",Tarla Dalal,15 mins,15 mins,30 mins ,"39292, 1269, 39293, 39294, 39295, 38890, 39296, 39297, 39298, 39299","Combine the potatoes, salt and pepper powder in a deep bowl and mix well.
Divide the potato mixture into 12 equal portions and keep aside.
Combine the plain flour along with approx. ¾ cup water in a deep bowl and mix well using a whisk till no lumps remain. Keep aside.
Divide the cheese stuffing into 12 equal portions and keep aside.
Take a portion of the potato mixture and flatten it on your palm into a 50 mm. (2”) diameter circle using your fingers.
Place a portion of the cheese stuffing in the centre and bring all the sides together and shape into a cylindrical roll.
Dip the croquette in the plain flour-water mixture and roll it in the bread crumbs till it is evenly coated from all the sides.
Repeat step 5 to 7 to make 11 more croquettes.
Heat the oil in a deep non-stick pan and deep-fry, a few croquettes at a time on a medium flame, till they are golden brown in colour from all sides. Drain on an absorbent paper.
Serve immediately with chilli-garlic sauce.",4,14,122 cal,12 crouquettes,6.7 g,12.3 g,3.1 g,1.9 mg,55.8 mg,https://www.tarladalal.com/members/9306/big/big_aloo_cheese_croquettes_(_kebabs_and_tikkis_recipes)-12038.jpg?size=696X905
Aloo Frankie (  Wraps and Rolls),https://www.tarladalal.com/Aloo-Frankie-(--Wraps-and-Rolls)-32655r,The aloo frankie truly needs no introduction! this one is an authentic recipe that simply never fails you. With a balance of flavours ranging from tangy to spicy it will be enjoyed by young and old alike.,Tarla Dalal,15 mins,3 mins,18 mins ,"39300, 39301, 38958, 39302, 39021, 39303, 38909, 1269, 38902, 39302, 38961, 1269, 39304, 38894, 39305, 39306, 1269, 39307, 39308","Heat the butter in a broad non-stick pan, add the ginger-garlic paste and sauté on a medium flame for 30 seconds.
Add the potatoes, chili powder, garam masala, chaat masala, coriander and salt, mix well and cook for 1 to 2 minutes. Keep aside.
Place a roti on a clean dry surface and spread ¼th of the potato stuffing in a single row in the centre of the roti.
Drizzle ¼th of the masala water and 1 tsp of chillies in the vinegar evenly over it.
Sprinkle ¼th of the onion masala mixture on it and roll it up tightly.
Repeat with the remaining ingredients to make 3 more frankies.
Wrap a tissue paper around each frankie and serve immediately.
For chillies in vinegar, mix 1 tbsp of vinegar and 1 tsp finely chopped green chillies in a bowl and mix well.",5,9,NULL,4 frankies,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_aloo_frankie_(wraps_and_rolls)-2440.jpg?size=500X652
Aloo Chaat ( Mumbai Roadside Recipes ),https://www.tarladalal.com/Aloo-Chaat-(-Mumbai-Roadside-Recipes-)-33441r,"What a delightful experience it is to watch the baby potato turn into something so exciting! Tiny potatoes, marinated in Indian spices and sautéed in oil, are topped with moong, sev and other typical chaat add-ons. Although Aloo Chaat is not an integral part of all chaat counters, it has a fan-following of its own, especially in the winter, when its spiciness and warmth rejuvenate the soul.Planning a chaat party? Exciting recipes of Chaat / Bhel and more on www.tarladalal.com",Tarla Dalal,10 mins,4 mins,14 mins ,"39309, 39310, 38856, 39311, 38855, 39312, 39313, 1269, 38861, 39314, 39315, 39316, 39317, 39318, 39319, 39320, 39321, 39322, 38861","Combine 2 tbsp oil, chilli powder, coriander-cumin seeds powder, turmeric powder, dry mango powder, besan, salt and coriander in a bowl and mix well.
Add the potato halves, mix well and keep aside to marinade for 5 to 7 minutes.
Heat the remaining 1 tbsp oil in a non-stick pan, add the prepared marinated potatoes, mix well and cook on a medium flame for 3 to 4 minutes, while stirring occasionally. Keep aside.
Place ½ the marinated potatoes in a plate and top with ¼ cup whisked curds, 1 tsp garlic chutney, 2 tsp green chutney, 1 tbsp sweet chutney.
Sprinkle a pinch of cumin seeds powder and chilli powder, 2 tbsp moong sprouts, 2 tsp masala chana dal and 2 tbsp sev.
Repeat steps 1 and 2 to make 1 more plate.
Serve immediately garnished with coriander.",5,10,465 kcal,2 plates,    32.7 gm,    32.6 gm,    7.5 gm,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_aloo_chaat_(_mumbai_roadside_recipes_)-9998.jpg?size=696X905
Aloo Biryani,https://www.tarladalal.com/Aloo-Biryani-42446r,"The rich flavour of the gravy and the succulent crunch of deep-fried baby potatoes make this Aloo Biryani an experience to remember. Here, perfectly cooked rice is layered with a spicy gravy and deep-fried baby potatoes, along with some mint and coriander leaves to enhance the flavour and aroma. The whole arrangement is then cooked in a microwave or traditional oven to get the ‘dum’ effect, which causes the flavours of the gravy to blend with the rice and potatoes, giving you a really terrific biryani. Making traditional biryanis like this takes some time and effort but it is completely worth it! You can also try other biryani recipes like Minty Paneer Biryani or Biryani, Veg Hyderabadi Biryani .",Tarla Dalal,15 mins,10 mins,25 mins ,"38838, 38839, 1269, 38840, 38841, 38842, 38843, 38844, 38845, 38846, 38847, 38848, 1272, 38849, 38850, 38851, 38852, 38853, 38854, 38855, 38856, 38857, 38858, 1269, 38859, 38860, 38861","Heat the ghee in a deep non-stick pan, add the rice and salt and sauté on a medium flame for 2 minutes.
Switch off the flame, add the deep-fried onions and mix gently. Keep aside.
Heat the oil in a deep non-stick pan, add the bayleaf, cloves, peppercorns, cardamom, cinnamon and sauté on a medium flame for a few seconds.
Add the prepared paste, turmeric powder, chilli powder, coriander powder, garam masala, salt and ½ cup of water, mix well  and cook on a medium flame for 4 to 5 minutes, while stirring occasionally. Keep aside.
Place half the rice mixture in a shallow microwave and oven safe glass dish and spread it evenly.
Pour the gravy over it and spread it evenly.
Place the deep-fried potato halves on it.
Sprinkle 1 tbsp of mint leaves and 1 tbsp of coriander evenly over it.
Put the remaining rice mixture and spread it evenly.
Finally sprinkle again with 1 tbsp of mint leaves and 1 tbsp of coriander evenly over it.
Microwave on high for 2 minutes or bake in a pre-heated oven at 200°c (400°f) for 10 minutes.
Serve hot.",NULL,NULL,NULL,4 servings,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_aloo_biryani-13693.jpg?size=696X905
"Aloo Fry Recipe, How To Make Potato Fry",https://www.tarladalal.com/Aloo-Fry-Recipe-How-To-Make-Potato-Fry-41958r,"Aloo Fry is a chatpata dry potato preparation, made with a large assortment of spice powders including tongue-tickling ones like garam masala and amchur. It is amazing how common spice powders and an everyday veggie can result in something so tasty when used in the right proportions and cooked the right way! While cooking the potato cubes, do not keep on stirring continuously as they will break and become mushy. Just let them cook for the required time, stirring occasionally, to get a nice texture and taste. We have used mustard oil in this recipe as it adds to the peppy flavour! You can also try other recipes like Potatoes in Harissa Sauce or Potatoes and Tomatoes Stuffed with A Coconut-based Paste .",Tarla Dalal,10 mins,14 mins,24 mins ,"39323, 38991, 39324, 39325, 39326, 39327, 39328, 38873, 38858, 38961, 1269, 38861","Heat the oil in a deep non-sick pan, add the potatoes and sauté on a medium flame for 6 to 7 minutes.
Add the turmeric, kashmiri red chilli powder, red chilli powder, coriander powder, cumin seeds powder, asafoetida, garam masala, and salt , mix well and sauté on a medium flame for 7 minutes.
Switch off the flame, add the dried mango powder and coriander and mix well.
Serve immediately.",5,1,150 cal,3 servings,10.1 g,14 g,1 g,0 mg,7.9 mg,"https://www.tarladalal.com/members/9306/big/big_aloo_fry_recipe,_how_to_make_potato_fry-13221.jpg?size=696X905"
"Aloo Bhujia, Potato Sev, Jar Snack",https://www.tarladalal.com/Aloo-Bhujia-Potato-Sev-Jar-Snack-42088r,"Made with a dough of mashed potatoes, besan and rice flour, the Aloo Bhujia has a melt-in-the-mouth texture. It also has an awesome flavour, with the spiciness of garam masala and the exhilarating tang of dry mango powder. With a perfect blend of spices, this recipe gives you an authentic flavour just like what you get in the market. Enjoy it with a cup of hot tea  . You can also try other recipes like Methi Puri or Healthy Khakhra Chivda .",Tarla Dalal,15 mins,25 mins,40 mins ,"39329, 39330, 39331, 39332, 38855, 38858, 38961, 39104, 38890, 39333, 39334","Combine all the ingredients in a deep bowl, mix well and knead into a soft dough using enough water.
Divide the dough into 2 equal portions.
Put one portion of the dough in a greased smallest small hole sev ""press"" mould, press it properly and cover it with the lid.
Heat the oil in a deep non-stick pan, press out thin strands of the sev in batches into the hot oil and deep-fry on a slow flame till they turn light brown in colour from both the sides. Drain on an absorbent paper.
Repeat steps 3 and 4 to deep-fry the remaining sev.
Keep aside to cool for 5 to 10 minutes.
Transfer the sev into a deep bowl, add the black salt and chaat masala evenly over it and break into pieces while mixing it with your hands.
Store in an air-tight container and use as required.",5,1,525 cal,4 cups (4 cup ),29.1 g,50.4 g,15.5 g,0 mg,54.4 mg,"https://www.tarladalal.com/members/9306/big/big_aloo_bhujia,_potato_sev,_jar_snack-13347.jpg?size=696X905"
Aloo Aur Shakarkand ki Chaat,https://www.tarladalal.com/Aloo-Aur-Shakarkand-ki-Chaat-2817r,"Most of us consider sweet potatoes to be a very boring vegetable, only to be eaten during religious fasts and then too, it is only baked or boiled before it is peeled and eaten. This recipe is a good example of how versatile and delicious the humble potato and sweet potato can be. Have it topped on crunchy papadis for a delicious treat. Check out are many more chaat recipes that are sure to tickle your taste buds.",Tarla Dalal,10 mins,4 mins,14 mins ,"39335, 39336, 39337, 39338, 39284, 39339, 39340, 39341, 1269, 38909","Heat the oil in a broad not-stick pan, add the potatoes and sweet potatoes and cook on a medium flame for 3 to 4 minute or till they turn golden brown in colour, while stirring occasionally.
Remove from the flame and divide into 4 equal portions.
Place a portion of the prepared mixture in a serving plate and top with 1½ tbsp of khajur imli ki chutney, 1 tbsp green chutney and ¼ cup of curds evenly over it.
Sprinkle a little black salt, cumin seeds powder, chilli powder and salt evenly over it.
Repeat steps 3 and 4 to make 3 more plates.
Serve immediately garnished with coriander.
While boiling potatoes and sweet potatoes, make sure boil them in salted water.",5,2,NULL,4 plates,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_aloo_aur_shakarkand_ki_chaat-9221.jpg?size=696X905
Aloo Aur Shakarkand Chaat,https://www.tarladalal.com/Aloo-Aur-Shakarkand-Chaat-30937r,A delicious snack that is sure to be enjoyed by all! potatoes are a favourite with most people. This recipe uses both potatoes and sweet potatoes. These are cut into large cubes and threaded onto skewers and brushed with oodles of butter. These are then grilled to perfection in a charcoal or electric barbeque and topped with tongue-tickling chutneys.,Tarla Dalal,10  mins,20 mins,30 mins ,"39342, 39343, 39289, 39344, 39285, 39345, 39286, 39287, 39288, 1269, 39346, 39291","Parboil the potatoes and sweet potatoes in salted water. Peel and cut into large cubes.
Thread the potato and sweet potato cubes alternately onto skewers.
Brush them with a little melted butter and cook over a charcoal or electric barbecue till they are evenly browned (approx. 3 to 4 minutes) on all sides.
Drain on absorbent paper and place in a serving dish.
Top with the phudina chutney, khajur imli ki chutney, curds, black salt, cumin seeds powder, chilli powder and salt.
Serve immediately garnished with radish and spring onions.",3,2,357 cal,4 servings (4 serving ),12.6 g,53.5 g,4.7 g,0 mg,117.3 mg,https://www.tarladalal.com/members/9306/big/big_aloo_aur_shakarkand_chaat-6812.jpg?size=500X650
Aloo Chaat,https://www.tarladalal.com/Aloo-Chaat-2582r,"Aloo Chaat is a mouth-watering treat that everybody loves! Tasty baby potatoes are combined with onions and tomatoes, as well as peppy chaat masala and tangy lemon juice to make a really flavourful treat. It feels wonderful to bite into this exciting treat, which is soft, crispy and chewy too. Prepare it just before serving, otherwise the vegetables will get soggy. Serve with Sev and Papadi (Chaat) to add a crunch to this delicious Aloo Chaat.",Tarla Dalal,1 mins,2 mins,3 mins ,"39347, 39348, 39349, 39350, 39256, 39351, 1269","Peel the onion and cut into small pieces.
Cut the tomatoes into small pieces.
Cut the baby potatoes into 2 horizontally.
Combine the potatoes, onions and tomatoes in a deep bowl and mix well.
Add the lemon juice, chaat masala, coriander and a little salt and toss well.
Serve immediately.",5,4,NULL,4 servings,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_aloo_chaat-10452.jpg?size=696X905
Aloo Chaat (  Punjabi Khana),https://www.tarladalal.com/Aloo-Chaat-(--Punjabi-Khana)-38563r,"There’s hardly anyone who isn’t familiar with the delicious aloo chaat. It is a versatile dish that is prepared in many different ways by different people in various states. Here is punjab’s version of aloo chaat and in true punjabi style it uses loads of chaat masala, lemon juice, mint and coriander making it irresistible. An ideal snack to be served with tea or cocktails or as an accompaniment to a meal.",Tarla Dalal,10 mins,5 mins,15 mins ,"39352, 38849, 39353, 39033, 38860, 39354, 38907, 39181, 1269, 38909","Heat the oil in a broad non-stick pan, add the potatoes and cook on a medium flame for 4 to 5 minutes or till they turn light golden brown in colour. Keep aside.
Combine the green chillies, coriander, mint leaves and ginger in a mixer and blend to a smooth paste using little water.
Transfer the paste into a deep bowl, add all the remaining ingredients and toss gently.
Serve immediately garnished with coriander.",4,4,212 cal,4 servings,7.7 g,33.2 g,2.5 g,0 mg,16.5 mg,https://www.tarladalal.com/members/9306/big/big_aloo_chaat_(__punjabi_khana)-8431.jpg?size=696X905
Aloo Cheese Frankie,https://www.tarladalal.com/Aloo-Cheese-Frankie-4099r,"A wholesome snack-on-the-go, the Aloo Cheese Frankie is something you can easily make at home once you know the right ingredients and method to use. Plain flour rotis play host to a deep-fried potato roll. The inclusion of onion masala mixture and masala water gives the frankies an authentic taste, which measures up to the way your favourite vendor makes it!Kids will love to have Aloo Cheese Frankie and a glass of Chocolate Milkshake as an after school treat .",Tarla Dalal,20 mins,20 mins,40 mins ,"39355, 38778, 1269, 39356, 39357, 39358, 39297, 39359, 38903, 38858, 39271, 1269, 38890, 39360, 38894, 39305, 39306, 1269, 39361, 38894, 38961, 1269","Combine all the ingredients in a deep bowl and knead into a soft dough using enough water.
Divide the dough into 6 equal portions and roll each portion into a 125 mm. (6”) diameter circle using a little plain flour for rolling.
Heat a non-stick tava (griddle) and cook each roti, using a little oil, till golden brown spots appear on both the sides. Keep aside.
Combine all the ingredients in a deep bowl and mix well.
Divide the mixture into 6 equal portions and roll each portion into a cylindrical roll.
Heat the oil in a deep non-stick kadhai and deep-fry, 3 rolls at a time, till they turn golden brown in colour from all the sides. Keep aside.
Place a roti on a clean, dry surface and drizzle little masala water evenly over it.
Place a potato roll in the centre, finally top with a little onion masala mixture, roll it up tightly and seal it with a toothpick.
Repeat steps 1 and 2 to make 5 more frankies.
Serve immediately.",5,5,240 kcal,6 frankies,  13.4 gm,  25.3 gm,  4.7 gm,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_aloo_cheese_frankie-12101.jpg?size=696X905
Aloo Gobhi Ka Pulao,https://www.tarladalal.com/Aloo-Gobhi-Ka-Pulao-22374r,"A homely and simple dish that is sure to satiate you, the Aloo Gobhi ka Pulao is fortified with loads of stomach-friendly veggies. This mildly-flavoured pulao uses minimal spices so as not to irritate your stomach. Even if you have acidity problems, you can enjoy this dish occasionally when you feel like having rice, but make sure you add lots of veggies as suggested here. As it is made in a pressure cooker and uses only common ingredients, it can be made quickly and easily on any day.",Tarla Dalal,13 mins,17 mins,45 mins ,"39362, 39363, 39364, 39134, 38848, 39365, 39366, 38850, 38855, 38894, 1269, 38909","Heat the ghee in a pressure cooker, add the cumin seeds, cinnamon, cloves and bayleaf and sauté on a medium flame for a few seconds.
Add the rice and sauté on a slow flame for 2 minutes.
Add the potatoes, cauliflower, turmeric powder, chilli powder, salt and 2 cups of water, mix well and pressure cook on a medium flame for 2 whistles.
Allow the steam to escape before opening the lid.
Serve hot garnished with coriander.",5,1,148 cal,4 servings,2.7 g,28.1 g,2.8 g,0 mg,11.7 mg,https://www.tarladalal.com/members/9306/big/big_aloo_gobhi_ka_pulao-12729.jpg?size=696X905
Aloo Aur Kaddu ki Subzi,https://www.tarladalal.com/Aloo-Aur-Kaddu-ki-Subzi-4346r,"Soft potatoes and fibrous red pumpkin cooked with an aromatic tempering of assorted seeds and spices, a couple of traditional spice powders, a dash of curds and tomatoes, the Aloo aur Kaddu ki Subzi is a choice you will not regret, whether for a homely meal or a friendly gathering. It burgeons with flavour and aroma, highlighted further by the finishing touch, a thoughtful sprinkling of tangy amchur powder.",Tarla Dalal,10 mins,25 mins,35 mins ,"39367, 39368, 38839, 39369, 39370, 39371, 39372, 38872, 38946, 38930, 39373, 38975, 38894, 39374, 38855, 6848, 38961, 39375, 1269","Heat the ghee in a broad non-stick pan, add the bay leaf, cinnamon, clove, cardamom, nigella seeds, mustard seeds and fenugreek seeds and sauté on a medium flame for a few seconds.
When the seeds crackle, add the curds, asafoetida, chilli powder, coriander-cumin seeds powder and turmeric powder and sauté on a medium flame for 30 seconds.
Add the tomatoes and cook on a medium flame for 1 to 2 minutes, while stirring occasionally.
Add the potatoes, pumpkin and ½ cup of water, mix well, cover and cook on a slow flame for 15 to 20 minutes or until the potatoes and pumpkin are cooked, while stirring occasionally.
Add the amchur powder, sugar and salt, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally.
Serve immediately.",5,3,126 cal,4 servings (4 serving ),5.4 g,16.9 g,2.4 g,0 mg,13 mg,https://www.tarladalal.com/members/9306/big/big_aloo_aur_kaddu_ki_subzi-8409.jpg?size=696X905
Aloo Kurkure,https://www.tarladalal.com/Aloo-Kurkure-2909r,"Mint-flavoured potato mash dipped in a typical flour batter, coated with powdered beaten rice, and deep-fried till temptingly crisp. Hear the crunchy poha crackle as you drain these on absorbent paper, and be tempted to take a bite even before you finish frying the remaining balls! indeed, this is a delectable snack that has both a traditional and modern hue, satisfying both young and old. Serve the aloo kurkure balls hot, with sweet and sour sauce or a chutney of your choice.",Tarla Dalal,5 mins,9 mins,14 mins ,"39376, 39377, 39378, 39287, 39062, 1269, 39379, 39380, 38890, 39381","Combine the potatoes, mint leaves, green chillies, cumin seeds powder, lemon juice and salt in a bowl and mix well.
Divide the mixture into 6 equal portions and shape them into round balls. Keep aside.
Combine the plain flour with a little water to make a thick and smooth paste and keep aside.
Dip each potato ball in the flour paste and then roll in powdered rice flakes till they are evenly coated from all the sides.
Heat the oil in a kadhai and deep-fry the potato balls a few at a time till they are golden brown in colour from all sides. Drain on absorbent paper.
Serve hot with sweet and sour sauce.",5,5,76 cal,6 kurkures,3.1 g,10.7 g,1.3 g,0 mg,2.6 mg,https://www.tarladalal.com/members/9306/big/big_aloo_kurkure-9492.jpg?size=696X905
Aloo Hara Masala,https://www.tarladalal.com/Aloo-Hara-Masala-30942r,Mughlai food is known to be very time consuming to prepare as it uses lots of pastes that need to be ground separately. Here is a starter that is prepared by first making a bright green fresh and minty paste and then combined with curds and other ingredients to make a marinade. Make sure you marinate the potatoes for at least 1 hour before grilling so that they absorb all the nuances of flavour. This preparation is worth all the extra effort required.,Tarla Dalal,10 mins,25 mins,35 mins ,"39382, 39383, 39384, 39385, 38846, 38847, 39181, 1269, 38949, 38856, 38851, 38853, 38991, 39386, 38822, 39271, 39387, 38858, 1269, 39388, 39389, 39390, 39391, 39392","Combine all the ingredients, except the oil, in a mixer and blend to a smooth paste.
Heat the mustard oil in a kadhai, add the prepared paste and sauté for 2 minutes. Keep aside.
Combine all the ingredients for the marinade in a bowl, add the prepared masala paste and mix well.
Add the potatoes, capsicum and tomatoes and allow them to marinate for 1 hour.
Thread the potatoes, capsicum and tomatoes alternatively on wooden or metal skewers.
Grill over a charcoal or electric barbeque till the vegetables are lightly and evenly browned on all sides (approx. 3 to 4 minutes) using oil for brushing.
Serve hot garnished with onion rings.",5,1,223 cal,Serves 4.  (4  ),16.9 g,14.2 g,2.4 g,0 mg,12.6 mg,https://www.tarladalal.com/members/9306/big/big_aloo_hara_masala-5969.jpg?size=500X650
"Aloo Gobi, Aloo Gobhi Recipe",https://www.tarladalal.com/Aloo-Gobi-Aloo-Gobhi-Recipe-22792r,"An all time favourite combination, in an all time favourite form! potato and cauliflower feature in a traditional curry seasoned with typical Indian spices and spruced up with common ingredients like ginger, green chillies and garlic. The magic of the garam masala and the dry mango powder is evident in Aloo gobi, as these spice powders really perk up the flavour of the subzi.Serve for lunch or dinner with rotis .",Tarla Dalal,15 mins,11 mins,26 mins ,"39393, 39394, 38800, 38901, 38873, 39395, 39052, 39178, 38994, 1269, 38855, 38856, 38858, 38961, 39396, 39397","Heat the oil in a deep non-stick kadhai, and add the cumin seed and asafoetida.
When the seeds crackle, add the dry red chillies, ginger, garlic and green chillies and sauté on a medium flame or a few seconds.
Add the potatoes, mix well and cover and cook on a medium flame for 3 to 4 minutes, while stirring occasionally.
Add the cauliflower, salt and 1 tbsp of water, mix well and cover and cook on a medium flame for 5 minutes, while stirring occasionally.
Add the turmeric powder, chilli powder, garam masala and dried mango powder, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally.
Garnish with a sprig of coriander and serve hot with parathas or rotis.",4,5,208 cal,2 servings,11.3 g,23.7 g,3 g,0 mg,39.9 mg,https://www.tarladalal.com/members/9306/big/big_aloo_gobhi-8032.jpg?size=696X905
